County Name,Date of Death,New Deaths,7-day Average New Deaths,Total Deaths,2019 Population ,New Deaths Rate,7-day Average New Death Rate,Total Death Rate,County FIPS Code,Longitude,Latitude,Georeferenced Latitude & Longitude
Cumberland,12/28/2020,4,4.3,323,253370,1.58,1.69,127.48,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Somerset,12/23/2020,3,3,82,73447,4.08,4.08,111.65,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Beaver,10/19/2020,0,0.1,142,163929,0,0.09,86.62,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Pennsylvania,12/31/2020,232,213,17856,12801989,1.81,1.66,139.48,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Beaver,03/19/2021,0,0.3,357,163929,0,0.17,217.78,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Pennsylvania,08/17/2020,9,15,7704,12801989,0.07,0.12,60.18,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Cumberland,07/01/2020,0,0.1,64,253370,0,0.06,25.26,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
York,09/01/2020,0,1.3,132,449058,0,0.29,29.39,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Cumberland,04/06/2021,0,0.4,502,253370,0,0.17,198.13,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Clearfield,02/03/2021,0,0.3,109,79255,0,0.36,137.53,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Bucks,09/11/2020,1,0.7,604,628270,0.16,0.11,96.14,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Pennsylvania,04/21/2020,147,140.9,2168,12801989,1.15,1.1,16.93,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Pennsylvania,08/29/2020,16,14.1,7875,12801989,0.12,0.11,61.51,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
